id,cidade,cidade_estado,latitude,longitude,estado,valor
2719,SAO JOAO DO TIGRE,SAO JOAO DO TIGRE - PB,-8.07,-36.84,PB,27285.08868
2720,SAO JOSE DA LAGOA TAPADA,SAO JOSE DA LAGOA TAPADA - PB,-6.94,-38.16,PB,52941.5426
2721,SAO JOSE DE CAIANA,SAO JOSE DE CAIANA - PB,-7.24,-38.3,PB,36185.56105
2722,SAO JOSE DE ESPINHARAS,SAO JOSE DE ESPINHARAS - PB,-6.84,-37.32,PB,34618.61379
2723,SAO JOSE DE PIRANHAS,SAO JOSE DE PIRANHAS - PB,-7.12,-38.5,PB,105611.5302
2724,SAO JOSE DE PRINCESA,SAO JOSE DE PRINCESA - PB,-7.73,-38.09,PB,31794.35603
2725,SAO JOSE DO BONFIM,SAO JOSE DO BONFIM - PB,-7.16,-37.3,PB,17763.96225
2726,SAO JOSE DO BREJO DO CRUZ,SAO JOSE DO BREJO DO CRUZ - PB,-6.21,-37.35,PB,9200.388555
2727,SAO JOSE DO SABUGI,SAO JOSE DO SABUGI - PB,-6.77,-36.79,PB,25702.92214
2728,SAO JOSE DOS CORDEIROS,SAO JOSE DOS CORDEIROS - PB,-7.39,-36.8,PB,25533.30635
2729,SAO JOSE DOS RAMOS,SAO JOSE DOS RAMOS - PB,-7.25,-35.38,PB,31612.21872
2730,SAO MAMEDE,SAO MAMEDE - PB,-6.92,-37.09,PB,51524.42124
2731,SAO MIGUEL DE TAIPU,SAO MIGUEL DE TAIPU - PB,-7.25,-35.21,PB,27199.32125
2732,SAO SEBASTIAO DE LAGOA DE ROCA,SAO SEBASTIAO DE LAGOA DE ROCA - PB,-7.08,-35.83,PB,61525.12159
2733,SAO SEBASTIAO DO UMBUZEIRO,SAO SEBASTIAO DO UMBUZEIRO - PB,-8.15,-37.01,PB,15144.33434
2734,SAPE,SAPE - PB,-7.09,-35.23,PB,310837.3912
2735,SERIDO,SERIDO - PB,-6.93,-36.4,PB,55888.98048
2736,SERRA BRANCA,SERRA BRANCA - PB,-7.48,-36.66,PB,80720.76302
2737,SERRA DA RAIZ,SERRA DA RAIZ - PB,-6.68,-35.44,PB,22547.41557
2738,SERRA GRANDE,SERRA GRANDE - PB,-7.21,-38.37,PB,17809.28593
2739,SERRA REDONDA,SERRA REDONDA - PB,-7.17,-35.67,PB,46933.73062
2740,SERRARIA,SERRARIA - PB,-6.85,-35.62,PB,56469.75544
2741,SERTAOZINHO,SERTAOZINHO - PB,-6.75,-35.44,PB,13924.17347
2742,SOBRADO,SOBRADO - PB,-7.14,-35.23,PB,38876.56002
2743,SOLANEA,SOLANEA - PB,-6.77,-35.69,PB,194304.1785
2744,SOLEDADE,SOLEDADE - PB,-7.05,-36.36,PB,76606.55176
2745,SOSSEGO,SOSSEGO - PB,-6.76,-36.25,PB,16149.48117
2746,SOUSA,SOUSA - PB,-6.76,-38.23,PB,372547.4234
2747,SUME,SUME - PB,-7.67,-36.88,PB,104758.2923
2748,TACIMA,TACIMA - PB,-6.48,-35.63,PB,65825.0266
2749,TAPEROA,TAPEROA - PB,-7.2,-36.82,PB,82993.00451
2750,TAVARES,TAVARES - PB,-7.63,-37.87,PB,88268.11237
2751,TEIXEIRA,TEIXEIRA - PB,-7.22,-37.25,PB,85943.96483
2752,TENORIO,TENORIO - PB,-6.94,-36.62,PB,14405.86713
2753,TRIUNFO,TRIUNFO - PB,-6.57,-38.59,PB,58769.15883
2754,UIRAUNA,UIRAUNA - PB,-6.51,-38.41,PB,85948.96891
2755,UMBUZEIRO,UMBUZEIRO - PB,-7.69,-35.66,PB,67630.24871
2756,VARZEA,VARZEA - PB,-6.77,-36.99,PB,14195.98155
2757,VIEIROPOLIS,VIEIROPOLIS - PB,-6.5,-38.25,PB,28039.19952
2758,VISTA SERRANA,VISTA SERRANA - PB,-6.73,-37.56,PB,20492.52818
2759,ZABELE,ZABELE - PB,-8.07,-37.09,PB,13280.29274
2760,ABREU E LIMA,ABREU E LIMA - PE,-7.91,-34.9,PE,485848.9322
2761,AFOGADOS DA INGAZEIRA,AFOGADOS DA INGAZEIRA - PE,-7.75,-37.63,PE,193965.2354
2762,AFRANIO,AFRANIO - PE,-8.51,-41,PE,85336.59564
2763,AGRESTINA,AGRESTINA - PE,-8.45,-35.94,PE,110778.8292
2764,AGUA PRETA,AGUA PRETA - PE,-8.7,-35.53,PE,177002.1791
2765,AGUAS BELAS,AGUAS BELAS - PE,-9.11,-37.12,PE,249456.0727
2766,ALAGOINHA,ALAGOINHA - PE,-8.46,-36.77,PE,74021.01998
2767,ALIANCA,ALIANCA - PE,-7.6,-35.23,PE,247423.0504
2768,ALTINHO,ALTINHO - PE,-8.49,-36.05,PE,149855.4194
2769,AMARAJI,AMARAJI - PE,-8.38,-35.45,PE,134639.4912
2770,ANGELIM,ANGELIM - PE,-8.89,-36.28,PE,57060.31548
2771,ARACOIABA,ARACOIABA - PE,-7.79,-35.09,PE,80604.74714
2772,ARARIPINA,ARARIPINA - PE,-7.57,-40.49,PE,410624.3957
2773,ARCOVERDE,ARCOVERDE - PE,-8.41,-37.05,PE,374597.8396
2774,BARRA DE GUABIRABA,BARRA DE GUABIRABA - PE,-8.42,-35.65,PE,66526.88292
2775,BARREIROS,BARREIROS - PE,-8.81,-35.18,PE,252636.3725
2776,BELEM DE MARIA,BELEM DE MARIA - PE,-8.61,-35.8,PE,92080.34226
2777,BELEM DE SAO FRANCISCO,BELEM DE SAO FRANCISCO - PE,-8.75,-38.96,PE,148527.4419
2778,BELO JARDIM,BELO JARDIM - PE,-8.33,-36.42,PE,428006.6823
2779,BETANIA,BETANIA - PE,-8.27,-38.03,PE,72307.92471
2780,BEZERROS,BEZERROS - PE,-8.23,-35.79,PE,343160.2609
2781,BODOCO,BODOCO - PE,-7.77,-39.94,PE,156949.269
2782,BOM CONSELHO,BOM CONSELHO - PE,-9.17,-36.68,PE,249749.7616
2783,BOM JARDIM,BOM JARDIM - PE,-7.79,-35.58,PE,231146.3619
2784,BONITO,BONITO - PE,-8.47,-35.72,PE,233444.7629
2785,BREJAO,BREJAO - PE,-9.03,-36.56,PE,56592.96031
2786,BREJINHO,BREJINHO - PE,-7.34,-37.28,PE,46398.66072
2787,BREJO DA MADRE DE DEUS,BREJO DA MADRE DE DEUS - PE,-8.14,-36.37,PE,243896.3702
2788,BUENOS AIRES,BUENOS AIRES - PE,-7.72,-35.32,PE,78466.82155
2789,BUIQUE,BUIQUE - PE,-8.62,-37.15,PE,252276.741
2790,CABO DE SANTO AGOSTINHO,CABO DE SANTO AGOSTINHO - PE,-8.28,-35.03,PE,846067.9312
2791,CABROBO,CABROBO - PE,-8.51,-39.3,PE,174718.6751
2792,CACHOEIRINHA,CACHOEIRINHA - PE,-8.48,-36.23,PE,103549.171
2793,CAETES,CAETES - PE,-8.77,-36.62,PE,125469.4164
2794,CALCADO,CALCADO - PE,-8.74,-36.33,PE,73477.39448
2795,CALUMBI,CALUMBI - PE,-7.94,-38.15,PE,47440.47653
2796,CAMARAGIBE,CAMARAGIBE - PE,-8.02,-34.98,PE,725399.9142
2797,CAMOCIM DE SAO FELIX,CAMOCIM DE SAO FELIX - PE,-8.35,-35.76,PE,95481.11406
2798,CAMUTANGA,CAMUTANGA - PE,-7.4,-35.27,PE,49700.55986
2799,CANHOTINHO,CANHOTINHO - PE,-8.88,-36.19,PE,156970.1427
2800,CAPOEIRAS,CAPOEIRAS - PE,-8.73,-36.62,PE,128459.2349
2801,CARNAIBA,CARNAIBA - PE,-7.8,-37.79,PE,122801.6003
2802,CARNAUBEIRA DA PENHA,CARNAUBEIRA DA PENHA - PE,-8.32,-38.74,PE,69558.84766
2803,CARPINA,CARPINA - PE,-7.85,-35.25,PE,376830.8177
2804,CARUARU,CARUARU - PE,-8.28,-35.97,PE,1596041.524
2805,CASINHAS,CASINHAS - PE,-7.74,-35.72,PE,82629.9761
2806,CATENDE,CATENDE - PE,-8.66,-35.71,PE,197568.7237
2807,CEDRO,CEDRO - PE,-7.72,-39.23,PE,52195.77523
2808,CHA DE ALEGRIA,CHA DE ALEGRIA - PE,-8,-35.21,PE,69485.05443
2809,CHA GRANDE,CHA GRANDE - PE,-8.23,-35.46,PE,100579.2902
2810,CONDADO,CONDADO - PE,-7.58,-35.1,PE,133514.3354
2811,CORRENTES,CORRENTES - PE,-9.12,-36.33,PE,108304.8764
2812,CORTES,CORTES - PE,-8.47,-35.54,PE,87336.31263
2813,CUMARU,CUMARU - PE,-8,-35.69,PE,139258.6014
2814,CUPIRA,CUPIRA - PE,-8.61,-35.95,PE,156525.5843
2815,CUSTODIA,CUSTODIA - PE,-8.08,-37.64,PE,175640.4778
2816,DORMENTES,DORMENTES - PE,-8.44,-40.77,PE,85404.47897
2817,ESCADA,ESCADA - PE,-8.35,-35.22,PE,379643.1706
2818,EXU,EXU - PE,-7.51,-39.72,PE,208706.8299
2819,FEIRA NOVA,FEIRA NOVA - PE,-7.95,-35.38,PE,114406.302
2820,FERNANDO DE NORONHA,FERNANDO DE NORONHA - PE,-3.84,-32.41,PE,12419.48631
2821,FERREIROS,FERREIROS - PE,-7.44,-35.24,PE,70874.46091
2822,FLORES,FLORES - PE,-7.86,-37.97,PE,140908.8635
2823,FLORESTA,FLORESTA - PE,-8.6,-38.56,PE,150285.2445
2824,FREI MIGUELINHO,FREI MIGUELINHO - PE,-7.94,-35.91,PE,83134.63711
2825,GAMELEIRA,GAMELEIRA - PE,-8.58,-35.38,PE,138520.1597
2826,GARANHUNS,GARANHUNS - PE,-8.89,-36.49,PE,746019.6639
2827,GLORIA DO GOITA,GLORIA DO GOITA - PE,-8,-35.29,PE,189821.0174
2828,GOIANA,GOIANA - PE,-7.56,-35,PE,403611.2407
2829,GRANITO,GRANITO - PE,-7.71,-39.61,PE,37373.32684
2830,GRAVATA,GRAVATA - PE,-8.2,-35.56,PE,388204.4774
2831,IATI,IATI - PE,-9.04,-36.84,PE,111532.1256
2832,IBIMIRIM,IBIMIRIM - PE,-8.54,-37.69,PE,172101.8061
2833,IBIRAJUBA,IBIRAJUBA - PE,-8.58,-36.17,PE,44869.0043
2834,IGARASSU,IGARASSU - PE,-7.83,-34.9,PE,448811.574
2835,IGUARACI,IGUARACI - PE,-7.83,-37.51,PE,77077.26701
2836,INAJA,INAJA - PE,-8.9,-37.82,PE,69363.43753
2837,INGAZEIRA,INGAZEIRA - PE,-7.67,-37.46,PE,30411.05901
2838,IPOJUCA,IPOJUCA - PE,-8.39,-35.06,PE,294567.3269
2839,IPUBI,IPUBI - PE,-7.65,-40.14,PE,139399.2134
2840,ITACURUBA,ITACURUBA - PE,-8.83,-38.7,PE,23902.07051
2841,ITAIBA,ITAIBA - PE,-8.94,-37.42,PE,150486.5765
2842,ITAMARACA,ITAMARACA - PE,-7.74,-34.82,PE,87144.0271
2843,ITAMBE,ITAMBE - PE,-7.41,-35.11,PE,203602.8332
2844,ITAPETIM,ITAPETIM - PE,-7.37,-37.19,PE,92156.74653
2845,ITAPISSUMA,ITAPISSUMA - PE,-7.77,-34.89,PE,125124.1129
2846,ITAQUITINGA,ITAQUITINGA - PE,-7.66,-35.1,PE,97802.75316
2847,JABOATAO DOS GUARARAPES,JABOATAO DOS GUARARAPES - PE,-8.11,-35.01,PE,529966
2848,JAQUEIRA,JAQUEIRA - PE,-8.72,-35.79,PE,66773.76355
2849,JATAUBA,JATAUBA - PE,-7.99,-36.49,PE,104301.6879
2850,JATOBA,JATOBA - PE,-9.18,-38.26,PE,68815.46918
2851,JOAO ALFREDO,JOAO ALFREDO - PE,-7.85,-35.58,PE,168316.8956
2852,JOAQUIM NABUCO,JOAQUIM NABUCO - PE,-8.62,-35.53,PE,100108.5219
2853,JUCATI,JUCATI - PE,-8.7,-36.48,PE,53525.07478
2854,JUPI,JUPI - PE,-8.71,-36.41,PE,73239.23689
2855,JUREMA,JUREMA - PE,-8.71,-36.13,PE,78015.27419
2856,LAGOA DO CARRO,LAGOA DO CARRO - PE,-7.84,-35.32,PE,76021.16243
2857,LAGOA DO ITAENGA,LAGOA DO ITAENGA - PE,-7.93,-35.29,PE,110578.0814
2858,LAGOA DO OURO,LAGOA DO OURO - PE,-9.12,-36.45,PE,69795.47186
2859,LAGOA DOS GATOS,LAGOA DOS GATOS - PE,-8.65,-35.9,PE,104931.1124
2860,LAGOA GRANDE,LAGOA GRANDE - PE,-8.99,-40.27,PE,111729.0248
2861,LAJEDO,LAJEDO - PE,-8.66,-36.32,PE,206527.3011
2862,LIMOEIRO,LIMOEIRO - PE,-7.87,-35.45,PE,345631.8912
2863,MACAPARANA,MACAPARANA - PE,-7.55,-35.45,PE,136817.0264
2864,MACHADOS,MACHADOS - PE,-7.69,-35.52,PE,63056.4001
2865,MANARI,MANARI - PE,-8.96,-37.62,PE,72124.54645
2866,MARAIAL,MARAIAL - PE,-8.8,-35.82,PE,78270.05112
2867,MIRANDIBA,MIRANDIBA - PE,-8.11,-38.72,PE,87512.99546
2868,MOREILANDIA,MOREILANDIA - PE,-7.63,-39.55,PE,82694.21559
2869,MORENO,MORENO - PE,-8.11,-35.09,PE,267153.0138
2870,NAZARE DA MATA,NAZARE DA MATA - PE,-7.74,-35.22,PE,171701.5767
2871,OLINDA,OLINDA - PE,-8,-34.85,PE,2280100.475
2872,OROBO,OROBO - PE,-7.74,-35.6,PE,153618.3856
2873,OROCO,OROCO - PE,-8.62,-39.6,PE,71314.51813
2874,OURICURI,OURICURI - PE,-7.88,-40.08,PE,314265.7771
2875,PALMARES,PALMARES - PE,-8.68,-35.59,PE,370794.1672
2876,PALMEIRINA,PALMEIRINA - PE,-9,-36.32,PE,62107.76838
2877,PANELAS,PANELAS - PE,-8.66,-36,PE,174695.5435
2878,PARANATAMA,PARANATAMA - PE,-8.92,-36.65,PE,73795.50443
2879,PARNAMIRIM,PARNAMIRIM - PE,-8.09,-39.57,PE,129213.6958
2880,PASSIRA,PASSIRA - PE,-7.99,-35.58,PE,194282.8089
2881,PAUDALHO,PAUDALHO - PE,-7.89,-35.18,PE,269170.4554
2882,PAULISTA,PAULISTA - PE,-7.94,-34.87,PE,1478846.426
2883,PEDRA,PEDRA - PE,-8.49,-36.94,PE,129310.334
2884,PESQUEIRA,PESQUEIRA - PE,-8.35,-36.69,PE,367743.0904
2885,PETROLANDIA,PETROLANDIA - PE,-9.06,-38.3,PE,146661.796
2886,PETROLINA,PETROLINA - PE,-9.39,-40.5,PE,1302697.556
2887,POCAO,POCAO - PE,-8.18,-36.7,PE,63455.54416
2888,POMBOS,POMBOS - PE,-8.14,-35.39,PE,145888.7986
2889,PRIMAVERA,PRIMAVERA - PE,-8.33,-35.35,PE,70790.41702
2890,QUIPAPA,QUIPAPA - PE,-8.82,-36.01,PE,127338.0232
2891,QUIXABA,QUIXABA - PE,-7.72,-37.84,PE,44654.62963
2892,RECIFE,RECIFE - PE,-8.05,-34.88,PE,1346045
2893,RIACHO DAS ALMAS,RIACHO DAS ALMAS - PE,-8.13,-35.85,PE,116890.5047
2894,RIBEIRAO,RIBEIRAO - PE,-8.51,-35.37,PE,273546.2945
2895,RIO FORMOSO,RIO FORMOSO - PE,-8.66,-35.15,PE,123827.4664
2896,SAIRE,SAIRE - PE,-8.32,-35.7,PE,85936.62403
2897,SALGADINHO,SALGADINHO - PE,-7.93,-35.63,PE,38362.30956
2898,SALGUEIRO,SALGUEIRO - PE,-8.06,-39.12,PE,306324.585
2899,SALOA,SALOA - PE,-8.97,-36.68,PE,103765.7241
2900,SANHARO,SANHARO - PE,-8.36,-36.56,PE,95164.29351
2901,SANTA CRUZ,SANTA CRUZ - PE,-8.24,-40.33,PE,71105.53593
2902,SANTA CRUZ DA BAIXA VERDE,SANTA CRUZ DA BAIXA VERDE - PE,-7.82,-38.15,PE,73926.55858
2903,SANTA CRUZ DO CAPIBARIBE,SANTA CRUZ DO CAPIBARIBE - PE,-7.95,-36.2,PE,316269.7998
2904,SANTA FILOMENA,SANTA FILOMENA - PE,-8.16,-40.61,PE,61678.80054
2905,SANTA MARIA DA BOA VISTA,SANTA MARIA DA BOA VISTA - PE,-8.8,-39.82,PE,221345.0507
2906,SANTA MARIA DO CAMBUCA,SANTA MARIA DO CAMBUCA - PE,-7.84,-35.9,PE,69805.29281
2907,SANTA TEREZINHA,SANTA TEREZINHA - PE,-7.37,-37.48,PE,58073.95879
2908,SAO BENEDITO DO SUL,SAO BENEDITO DO SUL - PE,-8.8,-35.95,PE,74575.99443
2909,SAO BENTO DO UNA,SAO BENTO DO UNA - PE,-8.52,-36.44,PE,296144.9556
2910,SAO CAITANO,SAO CAITANO - PE,-8.32,-36.14,PE,210982.0963
2911,SAO JOAO,SAO JOAO - PE,-8.87,-36.36,PE,123707.7011
2912,SAO JOAQUIM DO MONTE,SAO JOAQUIM DO MONTE - PE,-8.43,-35.8,PE,114319.1738
2913,SAO JOSE DA COROA GRANDE,SAO JOSE DA COROA GRANDE - PE,-8.89,-35.14,PE,81102.18159
2914,SAO JOSE DO BELMONTE,SAO JOSE DO BELMONTE - PE,-7.86,-38.76,PE,202778.3533
2915,SAO JOSE DO EGITO,SAO JOSE DO EGITO - PE,-7.47,-37.27,PE,185823.5558
2916,SAO LOURENCO DA MATA,SAO LOURENCO DA MATA - PE,-8,-35.01,PE,555893.7984
2917,SAO VICENTE FERRER,SAO VICENTE FERRER - PE,-7.59,-35.49,PE,102717.6534
2918,SERRA TALHADA,SERRA TALHADA - PE,-7.98,-38.29,PE,483549.5461
2919,SERRITA,SERRITA - PE,-7.93,-39.29,PE,105655.113
2920,SERTANIA,SERTANIA - PE,-8.07,-37.26,PE,206214.3332
2921,SIRINHAEM,SIRINHAEM - PE,-8.59,-35.11,PE,194726.6093
2922,SOLIDAO,SOLIDAO - PE,-7.6,-37.65,PE,37002.84293
2923,SURUBIM,SURUBIM - PE,-7.81,-35.74,PE,282110.0585
2924,TABIRA,TABIRA - PE,-7.59,-37.53,PE,150379.7069
2925,TACAIMBO,TACAIMBO - PE,-8.31,-36.29,PE,70063.86133
2926,TACARATU,TACARATU - PE,-9.1,-38.15,PE,100925.9626
2927,TAMANDARE,TAMANDARE - PE,-8.76,-35.1,PE,104453.5049
2928,TAQUARITINGA DO NORTE,TAQUARITINGA DO NORTE - PE,-7.9,-36.04,PE,115955.9775
2929,TEREZINHA,TEREZINHA - PE,-9.05,-36.62,PE,41453.33669
2930,TERRA NOVA,TERRA NOVA - PE,-8.23,-39.37,PE,47895.1144
2931,TIMBAUBA,TIMBAUBA - PE,-7.5,-35.31,PE,362162.0759
2932,TORITAMA,TORITAMA - PE,-7.99,-36.05,PE,113876.2396
2933,TRACUNHAEM,TRACUNHAEM - PE,-7.8,-35.24,PE,79519.74342
2934,TRINDADE,TRINDADE - PE,-7.76,-40.26,PE,121945.6047
2935,TRIUNFO,TRIUNFO - PE,-7.83,-38.1,PE,101792.9375
2936,TUPANATINGA,TUPANATINGA - PE,-8.75,-37.34,PE,131233.5398
2937,TUPARETAMA,TUPARETAMA - PE,-7.6,-37.31,PE,52848.6549
2938,VENTUROSA,VENTUROSA - PE,-8.57,-36.87,PE,78151.77578
2939,VERDEJANTE,VERDEJANTE - PE,-7.92,-38.97,PE,55891.01251
2940,VERTENTE DO LERIO,VERTENTE DO LERIO - PE,-7.77,-35.85,PE,58183.96451
2941,VERTENTES,VERTENTES - PE,-7.9,-35.98,PE,91588.70266
2942,VICENCIA,VICENCIA - PE,-7.65,-35.32,PE,174038.6641
2943,VITORIA DE SANTO ANTAO,VITORIA DE SANTO ANTAO - PE,-8.11,-35.29,PE,673622.5934
2944,XEXEU,XEXEU - PE,-8.8,-35.62,PE,87991.80606
2945,ACAUA,ACAUA - PI,-8.21,-41.08,PI,27035.47778
2946,AGRICOLANDIA,AGRICOLANDIA - PI,-5.79,-42.66,PI,34722.59205
2947,AGUA BRANCA,AGUA BRANCA - PI,-5.89,-42.63,PI,88927.82489
2948,ALAGOINHA DO PIAUI,ALAGOINHA DO PIAUI - PI,-7,-40.93,PI,45300.30361
2949,ALEGRETE DO PIAUI,ALEGRETE DO PIAUI - PI,-7.24,-40.85,PI,28026.00838
2950,ALTO LONGA,ALTO LONGA - PI,-5.25,-42.21,PI,78848.3925
2951,ALTOS,ALTOS - PI,-5.03,-42.46,PI,261579.9567
2952,ALVORADA DO GURGUEIA,ALVORADA DO GURGUEIA - PI,-8.42,-43.77,PI,25394.46228
2953,AMARANTE,AMARANTE - PI,-6.24,-42.85,PI,115974.1079
2954,ANGICAL DO PIAUI,ANGICAL DO PIAUI - PI,-6.08,-42.73,PI,47241.14846
2955,ANISIO DE ABREU,ANISIO DE ABREU - PI,-9.18,-43.04,PI,39218.56006
2956,ANTONIO ALMEIDA,ANTONIO ALMEIDA - PI,-7.21,-44.19,PI,17785.15731
2957,AROAZES,AROAZES - PI,-6.11,-41.79,PI,38717.9391
2958,ARRAIAL,ARRAIAL - PI,-6.65,-42.53,PI,33255.86434
2959,ASSUNCAO DO PIAUI,ASSUNCAO DO PIAUI - PI,-5.86,-41.03,PI,40755.54972
2960,AVELINO LOPES,AVELINO LOPES - PI,-10.13,-43.94,PI,61791.83228
2961,BAIXA GRANDE DO RIBEIRO,BAIXA GRANDE DO RIBEIRO - PI,-7.85,-45.21,PI,51444.7574
2962,BARRA D'ALCANTARA,BARRA D'ALCANTARA - PI,-6.51,-42.11,PI,27842.84767
2963,BARRAS,BARRAS - PI,-4.24,-42.29,PI,252196.9817
2964,BARREIRAS DO PIAUI,BARREIRAS DO PIAUI - PI,-9.92,-45.47,PI,19266.46138
2965,BARRO DURO,BARRO DURO - PI,-5.81,-42.51,PI,41131.98586
2966,BATALHA,BATALHA - PI,-4.02,-42.07,PI,147723.5479
2967,BELA VISTA DO PIAUI,BELA VISTA DO PIAUI - PI,-7.98,-41.86,PI,20336.41527
2968,BELEM DO PIAUI,BELEM DO PIAUI - PI,-7.37,-40.97,PI,14792.36596
2969,BENEDITINOS,BENEDITINOS - PI,-5.45,-42.36,PI,64345.95614
2970,BERTOLINIA,BERTOLINIA - PI,-7.64,-43.95,PI,35009.22923
2971,BETANIA DO PIAUI,BETANIA DO PIAUI - PI,-8.14,-40.79,PI,47637.71702
2972,BOA HORA,BOA HORA - PI,-4.41,-42.08,PI,27195.56662
2973,BOCAINA,BOCAINA - PI,-6.94,-41.32,PI,26574.2616
2974,BOM JESUS,BOM JESUS - PI,-9.07,-44.35,PI,93314.03407
2975,BOM PRINCIPIO DO PIAUI,BOM PRINCIPIO DO PIAUI - PI,-3.19,-41.64,PI,32218.718
2976,BONFIM DO PIAUI,BONFIM DO PIAUI - PI,-9.16,-42.87,PI,31722.35649
2977,BOQUEIRAO DO PIAUI,BOQUEIRAO DO PIAUI - PI,-4.48,-42.07,PI,38664.77568
2978,BRASILEIRA,BRASILEIRA - PI,-4.13,-41.78,PI,50031.61911
2979,BREJO DO PIAUI,BREJO DO PIAUI - PI,-8.21,-42.82,PI,14987.87719
2980,BURITI DOS LOPES,BURITI DOS LOPES - PI,-3.17,-41.86,PI,114512.9221
2981,BURITI DOS MONTES,BURITI DOS MONTES - PI,-5.31,-41.09,PI,42284.22606
2982,CABECEIRAS DO PIAUI,CABECEIRAS DO PIAUI - PI,-4.47,-42.3,PI,51804.30826
2983,CAJAZEIRAS DO PIAUI,CAJAZEIRAS DO PIAUI - PI,-6.76,-42.39,PI,15951.287
2984,CAJUEIRO DA PRAIA,CAJUEIRO DA PRAIA - PI,-2.92,-41.33,PI,41536.29655
2985,CALDEIRAO GRANDE DO PIAUI,CALDEIRAO GRANDE DO PIAUI - PI,-7.33,-40.63,PI,34609.7163
2986,CAMPINAS DO PIAUI,CAMPINAS DO PIAUI - PI,-7.66,-41.88,PI,32463.75619
2987,CAMPO ALEGRE DO FIDALGO,CAMPO ALEGRE DO FIDALGO - PI,-8.37,-41.83,PI,26346.56134
2988,CAMPO GRANDE DO PIAUI,CAMPO GRANDE DO PIAUI - PI,-7.13,-41.03,PI,28768.75965
2989,CAMPO LARGO DO PIAUI,CAMPO LARGO DO PIAUI - PI,-3.81,-42.62,PI,32928.86336
2990,CAMPO MAIOR,CAMPO MAIOR - PI,-4.82,-42.16,PI,280455.3523
2991,CANAVIEIRA,CANAVIEIRA - PI,-7.68,-43.72,PI,25098.48492
2992,CANTO DO BURITI,CANTO DO BURITI - PI,-8.11,-42.94,PI,109069.4522
2993,CAPITAO DE CAMPOS,CAPITAO DE CAMPOS - PI,-4.45,-41.94,PI,63749.42629
2994,CAPITAO GERVASIO OLIVEIRA,CAPITAO GERVASIO OLIVEIRA - PI,-8.49,-41.82,PI,31223.7949
2995,CARACOL,CARACOL - PI,-9.27,-43.33,PI,45463.63827
2996,CARAUBAS DO PIAUI,CARAUBAS DO PIAUI - PI,-3.47,-41.84,PI,24527.73172
2997,CARIDADE DO PIAUI,CARIDADE DO PIAUI - PI,-7.73,-40.99,PI,22671.6019
2998,CASTELO DO PIAUI,CASTELO DO PIAUI - PI,-5.32,-41.55,PI,119857.0207
2999,CAXINGO,CAXINGO - PI,-3.41,-41.89,PI,16936.75164
3000,COCAL,COCAL - PI,-3.47,-41.55,PI,142547.1271
3001,COCAL DE TELHA,COCAL DE TELHA - PI,-4.55,-41.97,PI,27458.95049
3002,COCAL DOS ALVES,COCAL DOS ALVES - PI,-3.72,-41.44,PI,27772.97261
3003,COIVARAS,COIVARAS - PI,-5.06,-42.36,PI,21798.35837
3004,COLONIA DO GURGUEIA,COLONIA DO GURGUEIA - PI,-8.18,-43.79,PI,31354.5397
3005,COLONIA DO PIAUI,COLONIA DO PIAUI - PI,-7.23,-42.17,PI,45138.68857
3006,CONCEICAO DO CANINDE,CONCEICAO DO CANINDE - PI,-7.87,-41.59,PI,26546.7996
3007,CORONEL JOSE DIAS,CORONEL JOSE DIAS - PI,-8.81,-42.51,PI,26429.53746
3008,CORRENTE,CORRENTE - PI,-10.44,-45.16,PI,137751.0601
3009,CRISTALANDIA DO PIAUI,CRISTALANDIA DO PIAUI - PI,-10.65,-45.18,PI,40155.44687
3010,CRISTINO CASTRO,CRISTINO CASTRO - PI,-8.81,-44.22,PI,58309.78956
3011,CURIMATA,CURIMATA - PI,-10.03,-44.3,PI,53653.78307
3012,CURRAIS,CURRAIS - PI,-9,-44.41,PI,25047.398
3013,CURRAL NOVO DO PIAUI,CURRAL NOVO DO PIAUI - PI,-7.83,-40.9,PI,25879.73967
3014,CURRALINHOS,CURRALINHOS - PI,-5.58,-42.77,PI,18704.83747
3015,DEMERVAL LOBAO,DEMERVAL LOBAO - PI,-5.35,-42.67,PI,73002.96031
3016,DIRCEU ARCOVERDE,DIRCEU ARCOVERDE - PI,-9.33,-42.42,PI,41938.84724
3017,DOM EXPEDITO LOPES,DOM EXPEDITO LOPES - PI,-6.95,-41.64,PI,35281.60836
3018,DOM INOCENCIO,DOM INOCENCIO - PI,-9,-41.97,PI,46975.32135
3019,DOMINGOS MOURAO,DOMINGOS MOURAO - PI,-4.25,-41.27,PI,30220.68448
3020,ELESBAO VELOSO,ELESBAO VELOSO - PI,-6.2,-42.14,PI,101043.3236
3021,ELISEU MARTINS,ELISEU MARTINS - PI,-8.09,-43.66,PI,30653.73834
3022,ESPERANTINA,ESPERANTINA - PI,-3.9,-42.23,PI,207081.6005
3023,FARTURA DO PIAUI,FARTURA DO PIAUI - PI,-9.48,-42.79,PI,29865.63639
3024,FLORES DO PIAUI,FLORES DO PIAUI - PI,-7.79,-42.92,PI,26785.70167
3025,FLORESTA DO PIAUI,FLORESTA DO PIAUI - PI,-7.46,-41.79,PI,14374.59332
3026,FLORIANO,FLORIANO - PI,-6.76,-43.02,PI,318781.0844
3027,FRANCINOPOLIS,FRANCINOPOLIS - PI,-6.39,-42.26,PI,34196.34493
